Year,Actual,Predicted
1960,124.446275687,124.17589892371122
1973,121.135666161,117.3675010149418
2005,63.945765983,64.10334989810211
1998,131.022167324,128.80934252993745
2009,49.458137079,45.27054443095421
1965,113.454772111,113.62911615660433
1977,122.484517202,129.87424386091936
2013,32.106745516,35.557045390243424
2018,35.514860833,34.88547924160063
1996,134.849473947,127.47963734537451
2002,94.029499733,88.33246914595377
1993,110.742071585,110.99144383390586
2004,65.514046653,71.04628698512278
1989,90.172597898,85.00260622321063
2002,82.303561517,88.33246914595377
1967,106.597707254,113.65082002888767
2008,48.777490052,48.74840019332502
2017,32.626626399,34.22417547741022
1979,123.198735022,125.89863634900327
1990,86.380555349,86.05719470931066
1980,123.088337406,119.37417013680592
1997,120.842959087,127.47963734537451
1989,84.246863087,85.00260622321063
2023,30.479223905,30.661173856978753
1960,130.737931655,124.17589892371122
1962,124.3169415,117.49671773671021
1968,121.298018995,114.37268796751508
1961,120.713593446,117.49671773671021
1999,117.153283501,114.02609904976944
1966,119.771752792,113.62911615660433
1999,110.307047436,114.02609904976944
1974,131.460296392,124.0555943007921
2000,114.130931113,107.87376021796686
1971,117.455396531,116.95263369263425
1973,113.606036205,117.3675010149418
1957,129.968666514,137.17956859053646
1989,78.005593526,85.00260622321063
1983,101.550415476,94.84017212237384
2022,30.843653592,30.892298141549794
1987,85.799227506,85.37925316872033
1988,78.141997151,85.00260622321063
1991,85.361721917,88.31839066829647
1990,80.186332878,86.05719470931066
1970,123.340705368,116.72906444172683
1966,113.189345981,113.62911615660433
2015,33.745951292,33.720625768639024
1997,134.816188794,127.47963734537451
1996,128.017776125,127.47963734537451
1987,79.676230058,85.37925316872033
2016,33.08445743,33.417433768694316
1994,212.173814012,210.50439627638968
1958,132.903466143,136.2105912859827
1992,106.420038354,100.03180209712264
1971,124.502978101,116.95263369263425
1990,92.242101909,86.05719470931066
1963,108.992986723,115.69825647769055
2007,48.218181711,52.93618582953395
1965,119.942861572,113.62911615660433
2001,91.595249148,97.5062852967885
1956,149.115755329,141.3068667743651
1985,83.26267923,89.45597626044369
2007,57.604577819,52.93618582953395
1980,115.880082886,119.37417013680592
1968,107.128346662,114.37268796751508
1994,218.829001687,210.50439627638968
1966,106.27005907,113.62911615660433
2015,30.217862232,33.720625768639024
1970,116.232976468,116.72906444172683
2002,88.331827372,88.33246914595377
2010,46.045401533,42.1104723795576
1997,127.985617117,127.47963734537451
1965,106.685553145,113.62911615660433
1978,120.49674979,125.22838223425714
1960,117.536081396,124.17589892371122
1995,132.425271507,126.98496121801264
1971,110.02093496,116.95263369263425
2004,76.409662607,71.04628698512278
2003,73.732425631,79.34432926820887
1977,138.355676608,129.87424386091936
1984,85.166430406,91.50592628860026
2015,37.065499061,33.720625768639024
2019,31.828263524,31.814190236164716
1959,128.50834345,128.4206255986314
1987,91.669342019,85.37925316872033
2020,31.46396198,30.31552025233168
1970,108.787887658,116.72906444172683
1969,122.366149419,117.74119214874877
2006,52.891852934,57.76839819634467
1956,134.123848775,141.3068667743651
1964,107.565499389,114.34210734523244
1993,117.101847767,110.99144383390586
1962,111.096656891,117.49671773671021
1957,137.493263113,137.17956859053646
1991,91.587933639,88.31839066829647
2000,101.197817552,107.87376021796686
2008,53.097687938,48.74840019332502
2023,33.683750136,30.661173856978753
2010,38.112382437,42.1104723795576
1964,120.819072287,114.34210734523244
1985,95.685446516,89.45597626044369
1992,93.97566948,100.03180209712264
1995,118.543405894,126.98496121801264
1964,114.3837547,114.34210734523244
2009,41.040572954,45.27054443095421
2014,37.990795205,34.53962218344619
1983,95.129853997,94.84017212237384
1963,115.85903966,115.69825647769055
2001,97.959665758,97.5062852967885
2012,33.457679456,35.557045390243424
1984,91.613288048,91.50592628860026
1975,127.461370607,130.25555022898277
1986,87.819659583,85.37925316872033
1963,122.178186489,115.69825647769055
2023,27.125530324,30.661173856978753
2008,44.26288946,48.74840019332502
1972,111.461131489,113.37615594834881
2016,36.394174087,33.417433768694316
1969,115.251485553,117.74119214874877
2020,28.021780073,30.31552025233168
1994,205.232856193,210.50439627638968
1968,114.414313644,114.37268796751508
1974,124.169280453,124.0555943007921
